1.0      6.0      6.0    
1.0      6.0      6.0    
1.0      4.0      4.0    
1.7e-8   1.7e-8   1.7e-8 
1.7e-8   1.7e-8   1.7e-8 
1.7e-8   1.7e-8   1.7e-8
1.6      1.6      2.15   
2.1      1.9      2.5    
2.35     2.35     2.85   
1.1      1.1      1.5    
0.8      0.5      0.5    
-0.1    -0.2     -0.2    
2.35     1.65     1.65   
2.15     1.9      1.9    
2.9      2.8      2.8    
1.6      1.05     1.05   
1.3      1.15     1.15   
1.75     1.5      1.5    
50.      50.      105.   
50.      50.      70.    
80.      80.      80.    
